Country_Code,Country_Name,Currency
4,United Kingdom,GBP
5,United States,USD
6,Canada,CAD
7,Mexico,MXN
9,Sweden,SEK
10,Italy,EUR
11,South Korea,KRW
12,Switzerland,CHF
14,India,
15,Costa Rica,
17,Germany,EUR
20,Nigeria,
21,Netherlands,
22,France,EUR
23,Israel,
24,Denmark,
25,Australia,AUD
26,Spain,EUR
27,Chile,
29,Argentina,
32,Brazil,
33,Ireland,EUR
34,Belgium,EUR
35,Japan,JPY
36,Singapore,SGD
37,China,CNH
38,Portugal,
39,Hong Kong,
41,Thailand,
42,Malaysia,
43,New Zealand,NZD
44,Pakistan,
45,Philippines,
46,Taiwan,TWD
47,Bangladesh,
48,Indonesia,
51,Greece,
52,Saudi Arabia,
53,Poland,
54,Austria,
55,Czech Republic,
56,Russia,
57,Kenya,
59,Egypt,
60,Norway,NOK
61,Ukraine,
63,Turkey,TRY
66,Iraq,
68,Lebanon,
70,Bulgaria,
71,Finland,
72,Euro Zone,EUR
75,Zimbabwe,
78,Cote D'Ivoire,
80,Rwanda,
84,Zambia,
85,Tanzania,
87,Oman,
89,Estonia,
90,Slovakia,
92,Jordan,
93,Hungary,
94,Kuwait,
96,Lithuania,
97,Latvia,
100,Romania,
102,Kazakhstan,
103,Luxembourg,
105,Morocco,
106,Iceland,
107,Cyprus,
109,Malta,
110,South Africa,ZAR
111,Malawi,
112,Slovenia,
113,Croatia,
119,Jamaica,
121,Ecuador,
122,Colombia,
123,Uganda,
125,Peru,
138,Venezuela,
139,Mongolia,
143,United Arab Emirates,
145,Bahrain,
162,Sri Lanka,
163,Botswana,
170,Qatar,
172,Namibia,
174,Bosnia-Herzegovina,
178,Vietnam,
188,Mauritius,
193,Palestinian Territory,
